na_rates,na_rates_actual,grouping_var,value,params,estimates
0.42,0.3675,mu_1_Observed data_1,0.27894968546979876,mu_1,Observed data
0.425,0.3625,mu_1_Observed data_1,0.738343452727192,mu_1,Observed data
0.43,0.36666666666666664,mu_1_Observed data_1,0.4388663461487303,mu_1,Observed data
0.435,0.37166666666666665,mu_1_Observed data_1,0.7295648130185488,mu_1,Observed data
0.44,0.38416666666666666,mu_1_Observed data_1,0.6283329001967842,mu_1,Observed data
0.445,0.37666666666666665,mu_1_Observed data_1,0.5430925644458762,mu_1,Observed data
0.45,0.3908333333333333,mu_1_Observed data_1,1.3288761071855444,mu_1,Observed data
0.455,0.3975,mu_1_Observed data_1,1.2961404757144832,mu_1,Observed data
0.46,0.4008333333333333,mu_1_Observed data_1,0.3045162926554253,mu_1,Observed data
0.465,0.38666666666666666,mu_1_Observed data_1,1.2180159942386055,mu_1,Observed data
0.47000000000000003,0.38916666666666666,mu_1_Observed data_1,1.1317671555617488,mu_1,Observed data
0.47500000000000003,0.4175,mu_1_Observed data_1,0.640340682443447,mu_1,Observed data
0.48,0.41333333333333333,mu_1_Observed data_1,0.7071296052027475,mu_1,Observed data
0.485,0.4041666666666667,mu_1_Observed data_1,0.7185113037449313,mu_1,Observed data
0.49,0.4141666666666667,mu_1_Observed data_1,0.33137076523412007,mu_1,Observed data
0.495,0.41,mu_1_Observed data_1,0.20523438509659614,mu_1,Observed data
0.5,0.4241666666666667,mu_1_Observed data_1,0.5018982426037915,mu_1,Observed data
0,0,sigma_11_Observed data_1,113.40669072853368,sigma_11,Observed data
0.005,0.0025,sigma_11_Observed data_1,113.69085951621835,sigma_11,Observed data
0.01,0.0125,sigma_11_Observed data_1,113.79617247437868,sigma_11,Observed data
0.015,0.0125,sigma_11_Observed data_1,112.2987282846648,sigma_11,Observed data
0.02,0.024166666666666666,sigma_11_Observed data_1,113.86259358750218,sigma_11,Observed data
0.025,0.0275,sigma_11_Observed data_1,114.14824099689719,sigma_11,Observed data
0.03,0.0275,sigma_11_Observed data_1,114.12297272073359,sigma_11,Observed data
0.035,0.02666666666666667,sigma_11_Observed data_1,113.43042833616052,sigma_11,Observed data
0.04,0.028333333333333332,sigma_11_Observed data_1,114.13751286952956,sigma_11,Observed data
0.045,0.04666666666666667,sigma_11_Observed data_1,114.12820357537781,sigma_11,Observed data
0.05,0.05,sigma_11_Observed data_1,113.96894101069437,sigma_11,Observed data
0.055,0.0525,sigma_11_Observed data_1,115.74127097451147,sigma_11,Observed data
0.06,0.06666666666666667,sigma_11_Observed data_1,113.42331189937315,sigma_11,Observed data
0.065,0.06333333333333334,sigma_11_Observed data_1,113.27234728934685,sigma_11,Observed data
0.07,0.08166666666666667,sigma_11_Observed data_1,111.7033758002082,sigma_11,Observed data
0.075,0.06,sigma_11_Observed data_1,115.9189731695863,sigma_11,Observed data
0.08,0.08333333333333333,sigma_11_Observed data_1,116.52496131754516,sigma_11,Observed data
0.085,0.0925,sigma_11_Observed data_1,108.52952150054877,sigma_11,Observed data
0.09,0.09583333333333334,sigma_11_Observed data_1,114.62022238018228,sigma_11,Observed data
0.095,0.10166666666666667,sigma_11_Observed data_1,115.65957782256554,sigma_11,Observed data
0.1,0.08833333333333333,sigma_11_Observed data_1,114.72103137201462,sigma_11,Observed data
0.105,0.105,sigma_11_Observed data_1,112.65754733734747,sigma_11,Observed data
0.11,0.11416666666666667,sigma_11_Observed data_1,116.23191556693013,sigma_11,Observed data
0.115,0.11333333333333333,sigma_11_Observed data_1,111.50263525372199,sigma_11,Observed data
0.12,0.10583333333333333,sigma_11_Observed data_1,116.41530136925859,sigma_11,Observed data
